Iterations,Wide,Narrow
500,0.738882,0.925
600,0.696753,0.910417
700,0.749993,0.925
800,0.826382,0.929688
900,0.853387,0.934722
1000,0.836104,0.94375
1100,0.821962,0.930682
1200,0.858789,0.927083
1300,0.852557,0.930769
1400,0.874992,0.932143
1500,0.894437,0.935833
1600,0.917527,0.934375
1700,0.909306,0.932353
1800,0.874992,0.93125
1900,0.864758,0.929605
2000,0.860409,0.9325
2100,0.884251,0.938095
2200,0.901507,0.938068
2300,0.904581,0.938587
2400,0.923603,0.938542
2500,0.902214,0.9405
2600,0.916124,0.941346
2700,0.929004,0.943056
2800,0.927075,0.946429
2900,0.918574,0.946983
3000,0.917121,0.944167
3100,0.912626,0.945968
3200,0.917527,0.945703
3300,0.904453,0.948485
3400,0.909306,0.947059
3500,0.92777,0.948214
3600,0.923603,0.947569
3700,0.924917,0.950338
3800,0.915928,0.950329
3900,0.924849,0.949679
4000,0.928464,0.949375
4100,0.922417,0.95
4200,0.930547,0.95
4300,0.942821,0.950581
4400,0.956747,0.951705
4500,0.961411,0.9525
4600,0.965873,0.952717
4700,0.970145,0.951862
4800,0.972214,0.953906
4900,0.98015,0.956378
5000,0.993602,0.9575
5100,0.996996,0.955637
5200,0.987171,0.955048
5300,0.981385,0.954953
5400,0.979415,0.954167
5500,0.975749,0.954318
5600,0.987838,0.95558
5700,0.98927,0.957018
5800,0.994005,0.957543
5900,0.988692,0.958051
6000,0.994899,0.956458
6100,0.999308,0.956148
6200,0.998871,0.958065
6300,0.996905,0.95754
6400,0.996519,0.957422
6500,0.994649,0.956731
6600,0.994309,0.95625
6700,0.991077,0.955037
6800,0.979362,0.954412
6900,0.976441,0.954348
7000,0.972214,0.954286
7100,0.968106,0.954225
7200,0.964112,0.955208
7300,0.968218,0.953938
7400,0.964331,0.953885
7500,0.967028,0.953833
7600,0.969655,0.952467
7700,0.965901,0.950974
7800,0.967228,0.950481
7900,0.962368,0.951424
8000,0.962491,0.950938
8100,0.967413,0.951698
8200,0.966285,0.951829
8300,0.967528,0.952259
8400,0.971056,0.951637
8500,0.969926,0.950882
8600,0.973344,0.95
8700,0.973331,0.949713
8800,0.970004,0.949858
8900,0.977675,0.950281
9000,0.976535,0.950556
9100,0.980761,0.951236
9200,0.978554,0.950543
9300,0.977441,0.950672
9400,0.978419,0.950532
9500,0.978354,0.950658
9600,0.979303,0.951302
9700,0.977225,0.951289
9800,0.974198,0.950383
9900,0.97025,0.95
10000,0.971241,0.950125
10100,0.976064,0.95099
10200,0.977932,0.951838
10300,0.974101,0.95182
10400,0.972214,0.952163
10500,0.972214,0.952619
10600,0.972214,0.952358
10700,0.969488,0.951986
10800,0.967713,0.951389
10900,0.96597,0.951835
11000,0.966027,0.951932
11100,0.969586,0.951802
11200,0.969609,0.951451
11300,0.96361,0.951438
11400,0.963685,0.950987
11500,0.96376,0.95087
11600,0.967185,0.950754
11700,0.963904,0.951068
11800,0.961503,0.950318
11900,0.959142,0.950735
12000,0.958441,0.950729
12100,0.953734,0.950413
12200,0.950697,0.950205
12300,0.94692,0.949898
12400,0.943204,0.949798
12500,0.941103,0.9506
12600,0.940578,0.951488
12700,0.943889,0.951476
12800,0.942591,0.951563
12900,0.939053,0.952132
13000,0.939308,0.952692
13100,0.939559,0.952672
13200,0.938333,0.953125
13300,0.937857,0.953008
13400,0.935937,0.952892
13500,0.936206,0.953056
13600,0.937185,0.952941
13700,0.934602,0.95219
13800,0.934875,0.951359
13900,0.933045,0.951349
14000,0.930547,0.951071
14100,0.932911,0.950621
14200,0.931819,0.950088
14300,0.94094,0.950962
14400,0.938456,0.950868
14500,0.938689,0.950603
14600,0.94025,0.950856
14700,0.939806,0.951276
14800,0.939369,0.95152
14900,0.939589,0.951678
15000,0.939158,0.95125
15100,0.940021,0.951407
15200,0.941512,0.95148
15300,0.941713,0.951797
15400,0.940648,0.952192
15500,0.942106,0.952581
15600,0.941053,0.952804
15700,0.94249,0.952627
15800,0.941447,0.952373
15900,0.939806,0.951808
16000,0.94244,0.951797
16100,0.940813,0.951708
16200,0.941007,0.951929
16300,0.945373,0.952377
16400,0.944351,0.951982
16500,0.94452,0.952121
16600,0.944101,0.951807
16700,0.942523,0.952096
16800,0.943857,0.95186
16900,0.942875,0.951553
17000,0.943047,0.951544
17100,0.944355,0.951535
17200,0.942256,0.951599
17300,0.941305,0.951517
17400,0.943159,0.951221
17500,0.943325,0.951429
17600,0.94128,0.950994
17700,0.943102,0.951342
17800,0.943266,0.950983
17900,0.943971,0.950838
18000,0.941967,0.951111
18100,0.939986,0.951312
18200,0.938026,0.951099
18300,0.938213,0.950956
18400,0.936284,0.951019
18500,0.935953,0.951014
18600,0.93667,0.951142
18700,0.935821,0.951003
18800,0.933428,0.950532
18900,0.935691,0.950331
19000,0.934348,0.950461
19100,0.932511,0.950458
19200,0.932211,0.950911
19300,0.930907,0.951101
19400,0.932122,0.95116
19500,0.934322,0.95109
19600,0.935508,0.950765
19700,0.93372,0.950761
19800,0.932932,0.950694
19900,0.930687,0.95044
20000,0.929436,0.951
20100,0.928682,0.950995
20200,0.930341,0.951238
20300,0.931984,0.950985
20400,0.932181,0.950919
20500,0.932851,0.950671
20600,0.93257,0.950546
20700,0.932292,0.951027
20800,0.932951,0.950841
20900,0.933604,0.950718
21000,0.93564,0.950952
21100,0.938117,0.950711
21200,0.938736,0.950295
21300,0.937068,0.950176
21400,0.939049,0.95035
21500,0.940108,0.950523
21600,0.942057,0.95081
21700,0.940852,0.950749
21800,0.943672,0.950631
21900,0.94247,0.950114
22000,0.942605,0.950057
22100,0.943619,0.949717
22200,0.944186,0.949775
22300,0.945619,0.949944
22400,0.94487,0.950223
22500,0.943263,0.950333
22600,0.945112,0.950111
22700,0.945231,0.95
22800,0.94535,0.95
22900,0.946741,0.949836
23000,0.947274,0.949674
23100,0.946961,0.949675
23200,0.946651,0.949515
23300,0.945092,0.94941
23400,0.946039,0.949359
23500,0.944909,0.948989
23600,0.945025,0.949258
23700,0.94637,0.94942
23800,0.945662,0.94916
23900,0.944959,0.949215
24000,0.944668,0.949063
24100,0.942361,0.949015
24200,0.942886,0.949174
24300,0.943407,0.948971
24400,0.944322,0.948873
24500,0.944436,0.948724
24600,0.944549,0.948933
24700,0.945448,0.94914
24800,0.943988,0.948891
24900,0.943711,0.948996
25000,0.942658,0.94915
25100,0.942776,0.949303
25200,0.942507,0.94876
25300,0.943393,0.948765
25400,0.944272,0.949016
25500,0.944382,0.949118
25600,0.94449,0.949268
25700,0.945733,0.949368
25800,0.944705,0.949419
25900,0.944436,0.949566
26000,0.944917,0.94976
26100,0.945766,0.949665
26200,0.948094,0.95
26300,0.947816,0.950095
26400,0.947908,0.950284
26500,0.947633,0.950472
26600,0.947726,0.950188
26700,0.946725,0.950094
26800,0.946094,0.950373
26900,0.946914,0.950093
27000,0.945208,0.949769
27100,0.945666,0.949862
27200,0.945049,0.949678
27300,0.945504,0.949634
27400,0.947021,0.949772
27500,0.946759,0.949318
27600,0.947556,0.949411
27700,0.9494,0.949458
27800,0.949832,0.949775
27900,0.949215,0.949642
28000,0.948255,0.949732
28100,0.947649,0.949867
28200,0.946012,0.949645
28300,0.946105,0.949647
28400,0.946197,0.949384
28500,0.946629,0.949298
28600,0.946379,0.949082
28700,0.947485,0.949172
28800,0.948246,0.949002
28900,0.945974,0.949265
29000,0.947405,0.949353
29100,0.948493,0.949184
29200,0.948907,0.948973
29300,0.948655,0.949232
29400,0.948074,0.949235
29500,0.948815,0.949153
29600,0.948565,0.949071
29700,0.949299,0.948948
29800,0.948398,0.949077
29900,0.946852,0.949206
30000,0.945964,0.949375
30100,0.945082,0.949086
30200,0.94485,0.948924
30300,0.945582,0.94901
30400,0.94503,0.94889
30500,0.9448,0.948975
30600,0.942984,0.948938
30700,0.943396,0.949186
30800,0.94128,0.94931
30900,0.942009,0.949393
31000,0.940852,0.949516
31100,0.93939,0.949236
31200,0.939806,0.949319
31300,0.940221,0.949241
31400,0.94218,0.949244
31500,0.94351,0.949167
31600,0.941755,0.949011
31700,0.941851,0.949093
31800,0.941029,0.949253
31900,0.942651,0.94902
32000,0.943047,0.948984
32100,0.944047,0.94891
32200,0.943832,0.948641
32300,0.94392,0.948491
32400,0.944007,0.94838
32500,0.943496,0.948462
32600,0.94418,0.948313
32700,0.945158,0.948394
32800,0.94613,0.948399
32900,0.946505,0.948252
33000,0.945404,0.948106
33100,0.944898,0.947961
33200,0.943809,0.947816
33300,0.945354,0.947823
33400,0.945725,0.94768
33500,0.946675,0.947761
33600,0.94704,0.947842
33700,0.947403,0.947737
33800,0.946039,0.947559
33900,0.946116,0.947493
34000,0.945049,0.947353
34100,0.945128,0.947507
34200,0.944071,0.947332
34300,0.943869,0.947303
34400,0.943104,0.94742
34500,0.943188,0.947536
34600,0.94271,0.947507
34700,0.941954,0.947478
34800,0.941762,0.947557
34900,0.941014,0.947493
35000,0.940547,0.947357
35100,0.938699,0.947329
35200,0.93907,0.947266
35300,0.940266,0.947698
35400,0.940081,0.94774
35500,0.938802,0.947746
35600,0.938623,0.947647
35700,0.938173,0.947829
35800,0.939082,0.947765
35900,0.93755,0.947737
36000,0.937646,0.947847
36100,0.936665,0.947922
36200,0.937031,0.947825
36300,0.937664,0.947865
36400,0.938026,0.947905
36500,0.938386,0.948014
36600,0.940072,0.947985
36700,0.940425,0.947786
36800,0.939718,0.94803
36900,0.939016,0.9479
37000,0.939106,0.948007
37100,0.939195,0.947945
37200,0.9385,0.947782
37300,0.939633,0.947889
37400,0.941539,0.947894
37500,0.940844,0.9479
37600,0.939376,0.947706
37700,0.939463,0.947712
37800,0.940064,0.947718
37900,0.940405,0.94779
38000,0.940745,0.947697
38100,0.940827,0.947867
38200,0.940909,0.947938
38300,0.940737,0.947846
38400,0.941072,0.947656
38500,0.940143,0.947695
38600,0.941234,0.947442
38700,0.941063,0.947642
38800,0.940642,0.947455
38900,0.941223,0.947654
39000,0.941801,0.947596
39100,0.941133,0.947474
39200,0.940964,0.947449
39300,0.941291,0.947455
39400,0.940629,0.947621
39500,0.941201,0.947563
39600,0.940297,0.94738
39700,0.941357,0.947576
39800,0.941924,0.947613
39900,0.941999,0.947525
40000,0.941346,0.947375
40100,0.942635,0.94735
40200,0.94295,0.94717
40300,0.942058,0.947084
40400,0.943095,0.947123
40500,0.944127,0.946883
40600,0.94276,0.946706
40700,0.942593,0.946837
40800,0.941474,0.946691
40900,0.941312,0.946516
41000,0.940913,0.946524
41100,0.941935,0.946685
41200,0.942717,0.946359
41300,0.942553,0.946308
41400,0.94239,0.946316
41500,0.942227,0.946355
41600,0.942767,0.946364
41700,0.942371,0.946253
41800,0.941977,0.946232
41900,0.942978,0.946152
42000,0.94189,0.945923
42100,0.942424,0.945814
42200,0.942955,0.945705
42300,0.943024,0.945597
42400,0.942634,0.945696
42500,0.943848,0.945853
