Size,Pure,Hybrid 5,Hybrid 15,Hybrid 50,Hybrid 75
500,16314,18434,14687,12656,14055
600,19299,29183,18083,21048,17184
700,21627,29909,19873,21577,19181
800,24801,39649,22523,24691,22438
900,29039,43508,25624,28780,31261
1000,30488,47488,30699,32394,30066
1100,34609,53034,34614,38014,33448
1200,43515,56108,42443,42485,38596
1300,43922,59921,44809,47689,38919
1400,64033,62685,43218,50300,42989
1500,50816,65043,56057,48589,46556
1600,67283,70405,51498,46068,49244
1700,58484,73319,54044,58641,55149
1800,60695,79753,57222,53527,57708
1900,68164,76264,60086,64299,60505
2000,77734,84262,67583,63656,64667
2100,72671,89244,74417,70984,69461
2200,83981,84578,78280,74492,74507
2300,87428,89430,80364,76455,78119
2400,91126,95916,84514,73946,82281
2500,93895,97233,87302,76975,91687
2600,97089,97245,88123,88769,104948
2700,101767,104627,91666,81795,93389
2800,105431,113282,94873,87690,85685
2900,105997,122610,97840,90635,91198
3000,109805,137236,100757,94470,96540
3100,114114,148024,103901,98776,98589
3200,123744,137886,107457,101010,102588
3300,118466,139553,111024,103505,105723
3400,125835,142785,113811,107881,109941
3500,122250,148628,124479,111413,120790
3600,124059,151075,122363,124689,117226
3700,129138,153863,125581,121356,125376
3800,130211,160596,127701,124024,123143
3900,134331,159149,134756,127340,128458
4000,141672,162571,145903,129057,133077
4100,148921,164059,150966,134129,137082
4200,152905,171414,153118,138967,141510
4300,157163,174985,158024,140614,147341
4400,160688,179157,161362,146961,150774
4500,173656,182482,166058,152308,152041
4600,167158,184955,170264,154410,156847
4700,176382,188992,179755,158589,160711
4800,178071,192969,192764,161084,163397
4900,178735,195578,180166,165531,161325
5000,191406,198188,182879,166802,165199
5100,186290,203890,185425,168257,171568
5200,190579,210914,195240,172129,175620
5300,194225,216790,208154,182330,182009
5400,197786,222167,212436,181870,181740
5500,203720,230565,214819,183603,186471
5600,203850,235978,223389,221003,191397
5700,207216,254262,222436,200216,195188
5800,209942,299672,230466,194905,211148
5900,216563,286524,217547,202707,218504
6000,227721,277847,226749,208488,212461
6100,248539,276690,228632,210572,205554
6200,227819,282617,226170,212599,213773
6300,228395,289995,234291,220086,218576
6400,233953,290286,240367,223373,223319
6500,241760,298360,253057,229038,228653
6600,246194,297053,245076,232234,229524
6700,247194,301441,254699,236893,235832
6800,259576,306201,254995,248397,242892
6900,250947,309158,255388,249617,244005
7000,253924,333225,253653,251726,245936
7100,258966,329823,257212,258709,248005
7200,261395,317935,262571,262863,252237
7300,264629,333240,268275,256914,258422
7400,269704,352208,268459,269857,262293
7500,272582,340957,277279,287406,260713
7600,275631,346935,294209,275982,264978
7700,285228,349847,279970,301127,268100
7800,292814,338854,290416,273167,279361
7900,298558,342373,305100,281244,288067
8000,341912,345209,313569,286153,290269
