Size,Pure,Hybrid 5,Hybrid 15,Hybrid 50,Hybrid 75
500,12644,12607,8931,9905,5943
600,13830,15949,10664,7107,6782
700,17586,19918,12137,8091,9724
800,22238,21996,13568,9415,21631
900,28934,25209,15778,13400,13422
1000,27514,27257,19645,14192,15042
1100,30032,29435,27491,16735,16428
1200,39495,31171,25076,19237,19765
1300,41855,36432,29428,20486,23279
1400,50538,38079,27799,20508,23934
1500,45712,51335,30825,23928,28363
1600,49219,53887,32612,28563,28072
1700,53943,60416,34961,29342,30259
1800,60836,65800,44849,34987,34354
1900,59365,83186,45203,35055,34287
2000,58324,75328,55549,33352,32677
2100,66226,80636,49529,36507,35933
2200,57888,92650,52903,38891,40131
2300,68587,103149,54103,41331,43795
2400,69701,83451,53627,41996,42627
2500,66997,80468,58036,49159,55801
2600,79295,86769,61687,49850,57800
2700,77237,92573,60291,45370,56503
2800,89699,87016,66616,50245,62036
2900,92858,95443,71024,52011,63600
3000,101374,100910,77886,53169,64346
3100,104050,97025,83605,55588,58485
3200,105316,97068,79332,58176,66231
3300,110940,114463,77630,68593,79143
3400,116972,132933,82704,70957,67053
3500,122902,119138,82243,73499,62260
3600,109872,118992,83463,74376,62717
3700,120474,120848,82699,81505,64808
3800,122018,125782,90082,76875,69054
3900,127846,139634,101562,87909,81227
4000,120300,120325,93265,75505,77670
4100,135801,121848,109333,87455,82932
4200,125625,127967,121387,92895,99843
4300,126673,128316,115520,94294,96855
4400,129318,129738,118185,98108,88596
4500,135000,153700,121834,97815,79218
4600,134413,140715,126196,97327,83180
4700,140792,157176,130616,99442,91243
4800,149911,150933,132613,103783,105487
4900,149934,157361,132298,106944,111625
5000,140088,142412,140213,102737,109571
5100,145944,146007,140114,116828,129213
5200,147601,147703,136690,106179,111204
5300,151210,152237,132925,105494,108928
5400,159431,181374,144356,110102,110991
5500,172329,169435,150653,121767,127719
5600,177399,178175,150492,118991,149899
5700,180510,185332,148181,137502,146747
5800,191649,197674,155176,125657,143399
5900,195511,192025,176631,128772,151617
6000,202485,214569,165032,127741,153456
6100,200715,211978,157292,128999,159176
6200,210391,220989,160556,161453,155738
6300,215346,212877,188625,131864,162348
6400,211040,218309,172323,123145,156739
6500,222984,222995,175579,142167,167898
6600,220735,223464,181039,143977,159524
6700,224827,255889,199925,150255,143462
6800,232449,249540,190666,156168,145737
6900,253625,243006,183955,159874,150151
7000,242575,250594,191782,186640,148098
7100,246468,244178,212962,179495,151771
7200,259651,246846,187357,172412,143642
7300,277646,289099,204814,174166,148347
7400,243534,272764,198760,166592,147904
7500,253959,293115,201143,185943,147810
7600,252843,258694,211387,194357,151329
7700,262105,266079,234706,185068,154001
7800,261681,301281,220026,169578,149933
7900,268718,298678,238196,203631,167231
8000,263328,320018,277769,187878,159014
8100,269974,282720,239088,199188,164199
8200,266290,290254,266729,226789,163954
8300,267052,281154,271892,204239,162091
8400,262936,295033,240486,193193,159483
8500,276091,314881,281889,207438,173102
8600,282499,303579,259547,208183,175720
8700,275023,306416,262524,216952,171192
8800,305224,287710,279013,218814,178874
8900,301538,329386,287109,221242,196935
9000,294776,341927,277192,207935,197418
9100,324090,335605,253729,203049,202219
9200,296402,298976,250317,215627,193205
9300,308585,322011,317881,217218,185771
9400,303125,324703,297069,214290,187025
9500,307361,342828,312699,239549,188246
9600,314461,316363,301566,221111,195226
9700,308554,313472,312931,217755,219591
9800,323662,328529,308279,222151,217070
9900,332309,342376,327202,232589,217079
10000,319467,355714,302995,233616,222814
10100,313891,359734,309050,231970,216386
