Size,Pure,Hybrid 5,Hybrid 15,Hybrid 50,Hybrid 75
500,9679,13921,10503,8351,10992
600,11391,17662,12258,10615,14730
700,13280,18147,13440,12988,12014
800,13926,22089,15282,16397,19729
900,15415,24520,16987,14147,20168
1000,18564,30552,20948,15948,23924
1100,21909,28799,24057,18757,28863
1200,22833,29087,24983,22455,36068
1300,24993,32555,27524,24515,22328
1400,26214,38672,29989,28053,29550
1500,27788,40091,27872,31405,31602
1600,32714,48404,29419,35061,34781
1700,29453,48858,31633,28450,40115
1800,30767,53781,33039,31175,47465
1900,37465,48867,34575,33672,44958
2000,39903,60348,40360,35069,53018
2100,45395,57027,44605,38551,55322
2200,47622,58722,53321,40957,63052
2300,44191,61090,47322,43275,65759
2400,54712,60947,50054,46745,70426
2500,53627,62478,51042,49726,50940
2600,53226,67134,56567,55124,53181
2700,57192,73627,51917,56986,57038
2800,53066,84065,59606,67389,64107
2900,62234,84243,59798,65264,60289
3000,62593,89638,60028,62601,69631
3100,65610,95502,67023,73828,75200
3200,67891,97346,59241,78871,70011
3300,67728,100504,70058,66346,81636
3400,67115,103543,71273,59702,84151
3500,72393,107492,65333,67803,89861
3600,74713,110021,67334,70165,86208
3700,68835,111578,69109,65187,90229
3800,78425,112644,70348,75524,96806
3900,82376,113138,83838,79254,98587
4000,88160,115795,80653,80424,103387
4100,92035,116671,90466,75722,108758
4200,94749,112603,87716,79119,113150
4300,89286,114219,89808,88742,118343
4400,91620,117619,91646,89117,122714
4500,93596,119028,95225,92977,127568
4600,96329,116642,94986,102568,131736
4700,101904,122695,98585,92652,137486
4800,102589,122854,98469,103604,140744
4900,109333,124956,101510,100331,111210
5000,106918,125809,107207,110846,102907
5100,104335,125140,104883,104333,101995
5200,109499,145543,106169,109430,108977
5300,108235,147597,107910,111174,113322
5400,111396,158792,109525,113651,115574
5500,110480,158728,114266,119311,117991
5600,112276,155352,114644,122382,125981
5700,116769,158927,115325,123372,125734
5800,118469,166971,119146,129295,128219
5900,125948,170955,118866,133539,132384
6000,130451,177685,122423,152269,136628
6100,134669,188515,123671,141183,149868
6200,133277,183464,124839,145775,151163
6300,138069,188449,130448,157378,147079
6400,130413,189593,129378,159238,151931
6500,132035,199947,131519,132317,155679
6600,186455,189969,134747,125134,159837
6700,136286,198964,134638,127442,163754
6800,139309,209758,137287,129215,169292
6900,141037,203970,138534,138413,172259
7000,151848,209493,141354,144177,177704
7100,143643,209058,144391,144231,176652
7200,145469,212446,157625,137120,183878
7300,147935,213852,155234,138485,186154
7400,150701,215479,155373,140758,193196
7500,151230,218494,149693,143684,196924
7600,153537,220881,151567,145980,202625
7700,155392,219865,155703,148547,206485
7800,163709,243085,164122,150334,209733
7900,167979,231952,167021,153068,214623
8000,174857,236335,174442,155566,227463
8100,178594,229551,176969,158323,223772
8200,182587,230879,181281,175676,222202
8300,188290,250854,188280,166388,230834
8400,189568,245078,189453,171220,240274
8500,192269,241489,192664,173054,244749
8600,196171,258799,194566,176444,250434
8700,195781,244596,195268,179241,253521
8800,200153,247112,201190,184068,258515
8900,203399,248681,202079,184509,271282
9000,220547,251363,205465,187296,274857
9100,219666,253040,205462,198907,273554
9200,215650,254409,205645,209272,277870
9300,210037,259177,210430,204717,282866
9400,212439,261272,212290,217976,288454
9500,221458,259859,220963,215347,293400
9600,214877,262369,229098,206282,305648
9700,217105,261601,238140,209768,229319
9800,230082,273638,237653,211654,213009
9900,224551,275853,232031,217327,213317
10000,226528,275953,225147,220427,226892
10100,228624,266971,231250,221488,220247
10200,228474,268805,226509,244035,221883
10300,230223,274115,229832,231679,227763
10400,242077,281146,229698,269630,229326
10500,231681,286460,238395,255801,232392
10600,233435,290557,239448,255842,232510
10700,233070,296277,231697,250401,240656
10800,236702,308650,283850,249540,242326
10900,239214,313492,245736,261359,244688
11000,243365,325335,242249,252393,249008
11100,244668,319301,262042,256124,256712
11200,257244,329202,246346,261137,256437
11300,269893,333801,247428,283533,257759
11400,254369,333528,281274,274334,267738
11500,269247,377506,254767,296743,273403
11600,265333,365116,335447,291707,276840
11700,271231,354204,262992,315764,288564
11800,270400,359344,284394,317492,283689
11900,270983,368264,278752,304787,308939
12000,264481,375006,278124,293088,304838
12100,266674,376285,298466,299204,305074
12200,267902,379506,283424,302775,300753
12300,274143,385952,324087,306614,301575
12400,287059,379313,290087,317843,313923
12500,272855,391125,289023,315050,312028
12600,275551,393688,290151,315736,315328
12700,277678,401596,297093,322782,320683
12800,277765,416844,297357,321540,323306
12900,281781,401954,297333,311885,326184
13000,289895,413235,377320,299344,340772
13100,291691,408223,285631,270214,337645
13200,287268,412230,380604,269769,342265
13300,289228,414995,303906,280576,345256
13400,293452,420137,329359,275916,349805
13500,294651,422036,377945,293730,368931
13600,297157,426689,378741,280216,356014
13700,298969,428994,328427,280890,361111
13800,298796,429622,355466,284769,367557
13900,305393,432831,324518,341090,370007
14000,305963,463663,330625,290869,375447
14100,307532,439108,338651,300057,382542
14200,320525,443583,361356,298475,400334
14300,309639,486959,364081,298067,382201
14400,314099,507697,355788,299361,392610
14500,314722,504777,376937,301407,395021
14600,323017,485905,342937,304066,399950
14700,332185,453350,368119,330531,405852
14800,320602,469118,341927,316831,419773
14900,321334,457377,353037,308610,413652
15000,325110,477553,324909,313167,424460
15100,333316,471645,333434,315088,468603
15200,327602,459917,375245,316514,428491
15300,334788,463035,330585,321660,454860
15400,338253,464618,336955,321189,488976
15500,342990,471132,340619,326232,495171
15600,363011,474678,378163,335383,487992
15700,353534,476438,353874,330757,483786
15800,358911,475067,359138,334841,496576
15900,363906,492450,364399,342665,477592
16000,380858,478909,371266,339202,464168
16100,399310,523702,415437,349933,470382
16200,381217,480593,417112,373330,474674
16300,388740,489213,402746,341087,471422
16400,431538,481876,399041,362522,471543
16500,434350,485556,422069,362793,482695
16600,448294,492463,399863,416501,493080
16700,416996,497035,431114,388228,498916
16800,406000,499154,406376,422928,505359
16900,407541,498560,501992,397068,532310
17000,409294,513716,518184,452359,515092
17100,412132,542027,509593,383668,526734
17200,422849,508208,489703,394438,555006
17300,429437,523113,440682,380487,531007
17400,449858,584608,464882,409335,533912
17500,424221,555178,447734,405884,548527
17600,427452,554153,484445,394018,545936
17700,427564,563383,454841,407105,557454
17800,432649,572386,463313,401804,576443
17900,431958,570346,470591,402124,560057
18000,436595,583497,463663,405666,566690
18100,437674,533694,437278,407175,573089
18200,442067,534844,462473,420732,573255
18300,441298,539245,483525,413493,581657
18400,441170,547352,525219,415376,584599
18500,485225,544139,484750,419530,589213
18600,448620,543871,510930,443691,595433
18700,449248,545544,448230,463868,611248
18800,456142,547201,452328,428791,606627
18900,461729,565775,450690,432512,612471
19000,457755,555955,517696,437748,612874
19100,459740,550971,511346,440687,626793
19200,458277,552485,468392,440793,615228
19300,465397,554171,496164,447503,559822
19400,463978,551277,488267,449764,486665
19500,477087,559848,490725,454305,471097
19600,469327,557790,499197,454076,454820
19700,476313,562808,488195,483764,458334
19800,477916,594074,476169,499282,455210
19900,478026,563261,481665,465915,465178
20000,482297,567609,509697,478767,470792
20100,482761,573235,485312,474066,487927
20200,498288,570218,481128,478591,484186
20300,483680,568565,513215,479172,476956
20400,488065,579962,513103,481289,474104
20500,476256,572408,495753,496592,474922
20600,493134,587245,532730,493123,504697
20700,486362,609065,485178,516790,490333
20800,494100,586264,495498,524374,492750
20900,484928,594658,491883,510515,497968
21000,493658,598815,521354,499502,496987
21100,493502,608348,501892,507173,503787
21200,494947,618168,491694,511038,510103
21300,501430,622792,532894,504288,512566
21400,498643,637580,534486,531298,519229
21500,540005,666640,503914,527516,518591
21600,524028,643227,532917,524663,530305
21700,511142,650910,505754,530301,535099
21800,516116,664625,515488,567862,535418
21900,517777,660207,549150,540967,535065
22000,514479,673984,517710,535663,547893
22100,518351,674609,521797,545407,545265
22200,527114,706984,537758,549637,548998
22300,522290,689010,531586,553341,554414
22400,519426,694374,539161,559002,558862
