Size,Pure,Introsort
500,10799,18523
600,12400,27911
700,17830,31554
800,16405,36799
900,18190,41528
1000,20464,47070
1100,22617,56616
1200,24713,59880
1300,26816,66301
1400,29244,74465
1500,31715,101942
1600,33155,85764
1700,35163,93000
1800,39935,101026
1900,36572,108864
2000,42964,111898
2100,41387,123251
2200,43776,137446
2300,48110,133830
2400,46516,141692
2500,56301,148519
2600,57910,165659
2700,53023,160528
2800,61925,166813
2900,62214,184468
3000,63969,192597
3100,66353,190889
3200,68820,195223
3300,69045,199619
3400,73172,248824
3500,78950,219919
3600,71013,225021
3700,84356,244069
3800,81282,245784
3900,85539,264042
4000,79889,259469
4100,81403,327882
4200,83420,319101
4300,85571,281833
4400,86644,342431
4500,90149,314398
4600,92886,333516
4700,93772,402383
4800,96398,396727
4900,114150,354258
5000,99734,488475
5100,102752,521497
5200,106145,350413
5300,107429,372839
5400,109471,368781
5500,111461,362652
5600,111809,454785
5700,114974,506381
5800,115785,548476
5900,119070,546231
6000,121394,569310
6100,125300,574856
6200,124617,558003
6300,127853,425406
6400,131017,458470
6500,131903,493921
6600,133719,445091
6700,135952,455375
6800,141037,591276
6900,142059,674071
7000,181706,689047
7100,168942,745577
7200,146324,734385
7300,148385,732908
7400,147721,728540
7500,155449,617291
7600,156019,524280
7700,156400,521720
7800,161070,528358
7900,171290,537694
8000,162338,585588
8100,166250,549629
8200,167920,569898
8300,169244,569131
8400,170138,579412
8500,175709,597915
8600,178227,607031
8700,179065,607263
8800,204115,608184
8900,183172,621219
9000,184563,636863
9100,186755,636006
9200,189297,647527
9300,200814,644436
9400,192283,678617
9500,204741,668012
9600,195662,696549
9700,199215,687726
9800,202151,691737
9900,205653,692362
10000,206310,691130
10100,207509,834903
10200,217308,925677
10300,213063,769576
10400,214109,734309
10500,226335,745355
10600,221065,725470
10700,220880,702961
10800,221907,736457
10900,223988,883112
11000,228953,812188
11100,232488,767196
11200,233568,712537
11300,232812,740009
11400,238595,733852
11500,240023,766472
11600,231611,741022
11700,243474,782983
11800,259452,758630
11900,269605,757719
12000,279018,776790
12100,261522,772813
12200,257238,780910
12300,259783,815220
12400,260008,843239
12500,267039,801328
12600,272749,814188
12700,265076,837558
12800,267765,830079
12900,268235,872697
13000,271408,902391
13100,275750,874339
13200,272671,858325
13300,279977,876771
13400,280118,892584
13500,282259,945059
13600,282991,958927
13700,281684,1005881
13800,291070,920243
13900,293278,1030730
14000,291916,1034316
14100,305945,1057321
14200,296060,1045110
14300,299441,1078914
14400,303292,1094627
14500,301270,1072984
14600,308219,1037051
14700,309061,1124812
14800,308452,1042341
14900,308795,1076876
15000,318810,1081695
15100,317816,1103684
15200,335399,998044
15300,323250,1033256
15400,323882,1068211
15500,327272,1003137
15600,327392,1027449
15700,329090,1022262
15800,338555,1018463
15900,362871,1087774
16000,388701,1145358
16100,378845,1201234
16200,383527,1161609
16300,383950,1223961
16400,382849,1252710
16500,388305,1293885
16600,367541,1185684
16700,351342,1196450
16800,363324,1165464
16900,360646,1178597
17000,363499,1226434
17100,360644,1239811
17200,392841,1269355
17300,377383,1292324
17400,367334,1236346
17500,368703,1328290
17600,370065,1321060
17700,396106,1368735
17800,387346,1377638
17900,388186,1389819
18000,382455,1300461
18100,385435,1330188
18200,385009,1422882
18300,392885,1497448
18400,393039,1408041
18500,405625,1350687
18600,390529,1332707
18700,398779,1238294
18800,406040,1289727
18900,402248,1249450
19000,403602,1322183
19100,406456,1283554
19200,404239,1322772
19300,413023,1344362
19400,416024,1346674
19500,425567,1298947
19600,413944,1320418
19700,438839,1456241
19800,420095,1620184
19900,428941,1598618
20000,424113,1546761
20100,431464,1574366
20200,430927,1633333
20300,439356,1584486
20400,473814,1551148
20500,455806,1589613
20600,438023,1490056
20700,453268,1553143
20800,486521,1546706
20900,562144,1499261
21000,488597,1571970
21100,498850,1528126
21200,507290,1503295
21300,546264,1475205
21400,526213,1451913
21500,520456,1595332
21600,512488,1527023
21700,524320,1559425
21800,495331,1549893
21900,545807,1631766
22000,494613,1578501
22100,539317,1613747
22200,638319,1633572
22300,663447,1645192
22400,572665,1632805
22500,589654,1617171
22600,606771,1653428
22700,554238,1584620
22800,557946,1650133
22900,541929,1834394
23000,567201,1785297
23100,518430,1714198
23200,528641,1624644
23300,571288,2048099
23400,548552,1829174
23500,565285,1856131
23600,567574,1707997
23700,543371,1719758
23800,558339,1733317
23900,566058,1721757
24000,519507,1717043
24100,573942,1687865
24200,571885,1725107
24300,526130,1687315
24400,580076,1725835
24500,573888,1732697
24600,528727,1763807
24700,571334,1707497
24800,611945,1765555
24900,557650,1777864
25000,615867,1784167
25100,592008,1771996
25200,559144,1722528
25300,635874,1707199
25400,599706,1699517
25500,596643,1732087
25600,598842,1715209
25700,611136,1718829
25800,655062,1753084
25900,568369,1740648
26000,593059,1752017
26100,616922,1768768
26200,579937,1768694
26300,563925,1771940
26400,573651,1770678
26500,582991,1788566
26600,571851,1797116
26700,584701,1862656
26800,592537,1908062
26900,613017,1855662
27000,586193,1825429
27100,579650,1829482
27200,587869,1854763
27300,589168,1860970
27400,592342,1966325
27500,596729,1891847
27600,595305,1871633
27700,599630,1895499
27800,670869,1898815
27900,633636,1915404
28000,651084,1899901
28100,659777,1903678
28200,657567,1931008
28300,664736,1953963
28400,673337,1944922
28500,631689,1956505
28600,659738,1959614
28700,682512,1971570
28800,636958,2032234
28900,654060,1986326
29000,697315,1997874
29100,658860,2073614
29200,654540,1974039
29300,649551,1993148
29400,770029,2044570
29500,826887,2011088
29600,779605,2015679
29700,728594,2044151
29800,790162,2157891
29900,780890,2160665
30000,795731,2022628
30100,729960,2026098
30200,791981,2147714
30300,806365,2158899
30400,734403,2089371
30500,748093,2090658
30600,733098,2073766
30700,781671,2082259
30800,801426,2110429
30900,813229,2144382
31000,837540,2101632
31100,742897,2149226
31200,775059,2128296
31300,741720,2122652
31400,761309,2153791
31500,745567,2132609
31600,732510,2141135
31700,715370,2150065
31800,704782,2186275
31900,780240,2156563
32000,691782,2203722
32100,708020,2209528
32200,707301,2216556
32300,720365,2237341
32400,714593,2222993
32500,718058,2269113
32600,716742,2428085
32700,739672,2354639
32800,716061,2276188
32900,711771,2298586
33000,722388,2327635
33100,755244,2329249
33200,831434,2299219
33300,742157,2287154
33400,740444,2319990
33500,761265,2328466
33600,759765,2417229
33700,761371,2335826
33800,741647,2348241
33900,790920,2355200
34000,786085,2359642
34100,762420,2343794
34200,827785,2364444
34300,765719,2379114
34400,862617,2521846
34500,867892,2397037
34600,961267,2428494
34700,861314,2408460
34800,931085,2400115
34900,894064,2393227
35000,891002,2446000
35100,932882,2550456
35200,841663,2605775
35300,880843,2458536
35400,807118,2462512
35500,962561,2462782
35600,852325,2566473
35700,965099,2468244
35800,883421,2489128
35900,891871,2499259
36000,877273,2504527
36100,886638,2506298
36200,861377,2518038
36300,829554,2544722
36400,889942,2536030
36500,929310,2536392
36600,935918,2594846
36700,922233,2536822
36800,979678,2610325
36900,950382,2548514
37000,920920,2582400
37100,919410,2583805
37200,912929,2575122
37300,964539,2613408
37400,925928,2670691
37500,909193,2776049
37600,866168,2647862
37700,948635,2638680
37800,991633,2650003
37900,933107,2631247
38000,996167,2799563
38100,945559,2690674
38200,951632,2684669
38300,996730,2783888
38400,928294,2687013
38500,1025552,2703705
38600,938509,2695106
38700,986003,2670992
38800,919005,2764906
38900,1026503,2730637
39000,1023454,2698361
39100,951430,2710586
39200,1019662,2783450
39300,1012429,2779964
39400,994316,2743819
39500,946506,2740247
