Size,Pure,Introsort
500,26284,16590
600,26816,20130
700,31484,25778
800,38143,27718
900,40913,32025
1000,46132,41720
1100,51497,40186
1200,56664,44857
1300,62359,49010
1400,67828,53848
1500,72199,57511
1600,78741,62563
1700,84403,67591
1800,89216,71597
1900,92452,75036
2000,99866,79022
2100,105233,83168
2200,107589,89091
2300,115519,93369
2400,130995,95130
2500,126572,104242
2600,129854,117105
2700,135778,108376
2800,132223,106608
2900,137470,110568
3000,141937,115210
3100,149964,133932
3200,154517,138052
3300,160055,128770
3400,173766,131472
3500,184723,135851
3600,182841,140907
3700,186825,146559
3800,185316,151429
3900,203030,155207
4000,195451,161800
4100,200218,165074
4200,205428,169854
4300,213610,175211
4400,219692,198502
4500,231208,184480
4600,230525,189453
4700,232435,194496
4800,251590,207407
4900,262501,203422
5000,258322,204708
5100,258878,207711
5200,263273,211726
5300,264599,216803
5400,278530,221691
5500,274936,226387
5600,292023,231905
5700,299533,236218
5800,294707,240779
5900,301320,249957
6000,307337,256745
6100,323394,260293
6200,312100,282504
6300,322947,262307
6400,334078,270649
6500,329716,290328
6600,350696,282227
6700,355357,287843
6800,348113,298398
6900,353109,302576
7000,362004,303022
7100,374385,308306
7200,363081,337749
7300,369337,317608
7400,377554,321045
7500,389331,336484
7600,394149,339135
7700,398535,338912
7800,416623,341798
7900,421306,346699
8000,413254,350914
8100,416216,349223
8200,422345,362239
8300,428158,390367
8400,446257,370817
8500,446048,382086
8600,464575,382312
8700,461699,380634
8800,463115,388276
8900,467275,397228
9000,473853,404345
9100,494539,407029
9200,486600,403461
9300,485158,407870
9400,506062,416446
9500,492642,414574
9600,499353,432370
9700,515351,439659
9800,508433,450823
9900,511745,443580
10000,569568,467845
10100,531062,479481
10200,526918,446253
10300,535879,458008
10400,543015,461579
10500,554696,469326
10600,633346,494154
10700,613002,511750
10800,613321,555014
10900,619194,555943
11000,596409,575177
11100,604532,542776
11200,638009,554464
11300,598399,523179
11400,602876,524005
11500,616288,511374
11600,618678,535714
11700,658104,537673
11800,633074,549681
11900,639348,544732
12000,619847,551370
12100,649329,553423
12200,667012,562531
12300,645585,565652
12400,670654,563666
12500,694725,585183
12600,675017,582551
12700,689986,592301
12800,689685,583137
12900,687405,586975
13000,677857,589956
13100,697182,616921
13200,714028,606643
13300,703161,608904
13400,726768,607774
13500,712311,610050
13600,710618,629763
13700,729294,636671
13800,734540,644316
13900,742085,645770
14000,746613,652648
14100,763352,663834
14200,764465,672146
14300,767431,666647
14400,763407,662041
14500,775685,681233
14600,802205,684829
14700,794179,683473
14800,799816,699282
14900,801874,682598
15000,826636,690324
15100,809391,713118
15200,819663,735934
15300,822250,717411
15400,870971,727954
15500,832745,774291
15600,839209,723879
15700,851328,733725
15800,859953,744105
15900,864105,749530
16000,842233,750730
16100,867923,758261
16200,855803,754315
16300,860570,778070
16400,881313,788129
16500,883345,784709
16600,873714,779199
16700,903230,797733
16800,902604,781350
16900,961694,789835
17000,915164,810765
17100,913091,806007
17200,921691,872906
17300,920012,862988
17400,914794,805501
17500,963022,810984
17600,962431,836246
17700,959328,1083751
17800,950040,1187792
17900,959859,1199137
18000,991562,1098493
18100,994660,962223
18200,1024121,950285
18300,1086501,947831
18400,1036521,947185
18500,1009891,960926
18600,998318,963729
18700,1004039,997058
18800,1024834,998133
18900,1008854,983637
19000,1067155,1043909
19100,1094687,1025179
19200,1104935,1011998
19300,1050660,961649
19400,1058614,1002915
19500,1045959,1000000
19600,1080954,947848
19700,1048560,945676
19800,1063448,930035
19900,1115883,955006
20000,1089027,977468
20100,1082709,994102
20200,1119383,976115
20300,1149077,971191
20400,1189607,968962
20500,1121641,990617
20600,1112257,989071
20700,1110765,988190
20800,1143087,1000911
20900,1124649,989825
21000,1139848,1025695
21100,1132852,1013565
21200,1148854,1034386
21300,1153667,1034426
21400,1215019,1014440
21500,1171651,1022065
21600,1188325,1024346
21700,1166476,1031591
21800,1176810,1059361
21900,1239381,1037364
22000,1193823,1059097
22100,1206754,1061879
22200,1207738,1067973
22300,1218058,1070117
22400,1201603,1063947
22500,1239641,1076858
22600,1237203,1106924
22700,1258897,1096938
22800,1223791,1101798
22900,1258278,1089640
23000,1265613,1118125
23100,1233625,1090076
23200,1262318,1113609
23300,1284618,1118935
23400,1284787,1111113
23500,1380137,1132095
23600,1345780,1130462
23700,1295416,1139945
23800,1298414,1148235
23900,1297674,1142397
24000,1347076,1172948
24100,1309842,1156776
24200,1330484,1166507
24300,1430742,1166273
24400,1344274,1183433
24500,1336464,1178675
24600,1335632,1234714
24700,1347990,1354789
24800,1359437,1247542
24900,1355958,1212454
25000,1391303,1224702
25100,1352407,1206616
25200,1396325,1217347
25300,1347723,1224746
25400,1389002,1238792
25500,1413352,1227151
25600,1398255,1248042
25700,1380008,1246915
25800,1426084,1251489
25900,1420716,1254230
26000,1398450,1268779
26100,1440441,1274035
26200,1454634,1281301
26300,1427451,1272107
26400,1422474,1288721
26500,1455273,1275764
26600,1486989,1302455
26700,1454912,1299352
26800,1433047,1307149
26900,1487447,1306862
27000,1514731,1343540
27100,1480363,1326514
27200,1488451,1424999
27300,1536391,1447105
27400,1486641,1401417
27500,1535085,1393985
27600,1524537,1451337
27700,1566991,1463848
27800,1584831,1435633
27900,1540468,1392942
28000,1551711,1351054
28100,1520955,1355346
28200,1567197,1354892
28300,1549409,1408031
28400,1555869,1419595
28500,1542356,1394992
28600,1602164,1378305
28700,1578066,1392859
28800,1609780,1413437
28900,1567829,1438209
29000,1605068,1401194
29100,1592882,1482456
29200,1572806,1521420
29300,1580335,1453910
29400,1611832,1419952
29500,1607701,1432983
29600,1607556,1457742
29700,1633006,1441426
29800,1677403,1475333
29900,1621577,1467911
30000,1644650,1472835
30100,1705978,1492487
30200,1650194,1471026
30300,1612488,1490148
30400,1762955,1471544
30500,1688171,1509716
30600,1660026,1486490
30700,1714751,1638151
30800,1715265,1814969
30900,1691450,1730591
31000,1728349,1673973
31100,1693075,1656599
31200,1690165,1690543
31300,1715551,1755189
31400,1783336,1689131
31500,1844957,2041237
31600,1733993,1791258
31700,1721196,1734668
31800,1755229,1730894
31900,1726685,1738327
32000,1773923,1720773
32100,1763619,1728574
32200,1760334,1736574
32300,1781348,1721328
32400,1771283,1758003
32500,1785774,1723117
32600,1756850,1749250
32700,1883135,1762615
32800,1889098,1757121
32900,1913795,1780612
33000,1935218,1765138
33100,1834288,1685361
33200,1830020,1695532
33300,1924765,1691822
33400,1810237,1655721
33500,1853558,1667390
33600,1833537,1625781
33700,1842056,1703386
33800,1850726,1657177
33900,1824586,1773745
34000,1866114,1737751
34100,1883094,1793148
34200,1859615,1948592
34300,1885008,1876652
34400,1885595,1944564
34500,1904777,1949811
34600,1886758,1897832
34700,2023166,1888979
34800,1917168,1923403
34900,1915555,1855731
35000,1941776,1835579
35100,1941862,1751659
35200,1930103,1738802
35300,1947425,1720739
35400,1952357,1785185
35500,1990031,1834525
35600,1931566,1787341
35700,2001059,1742090
35800,2027278,1712671
35900,1951560,1759870
36000,1980537,1778639
36100,1993065,1813858
36200,2038175,1771082
36300,1993088,1868104
36400,1988421,1886641
36500,2001675,2032808
36600,2020263,1933487
36700,2004470,2041483
36800,1997515,1974615
36900,2019742,1990990
37000,2052311,2014893
37100,2046266,2029757
37200,2043590,1950892
37300,2063764,1881232
37400,2061619,1875732
37500,2080903,1882824
37600,2095927,1842888
37700,2162161,1845016
37800,2096155,1831987
37900,2077323,1874148
38000,2099173,1904572
38100,2100088,1904728
38200,2131635,2067408
38300,2160321,2080744
38400,2120371,2109757
38500,2124710,2123036
38600,2105912,2033852
38700,2125943,1932358
38800,2106231,2057623
38900,2133732,1937879
39000,2119380,1908256
39100,2188948,1926353
39200,2178791,1976661
39300,2152338,1936463
39400,2179403,1948998
39500,2181674,2024941
39600,2217544,2164036
39700,2191595,2191564
39800,2178887,2248082
39900,2189657,2305646
40000,2213509,2251328
40100,2250611,2282557
40200,2171852,2294989
40300,2219451,2267974
40400,2299451,2313388
40500,2278474,2202335
40600,2213365,2235386
40700,2217452,2160114
40800,2241663,2083566
40900,2278960,2153508
41000,2283595,2044754
41100,2224365,2095485
41200,2290533,2146221
41300,2290057,2113843
41400,2300256,2053493
41500,2262976,2108170
41600,2268995,2146902
41700,2256767,2134844
41800,2333781,2219782
41900,2322140,2130429
42000,2320728,2180613
42100,2299466,2199925
42200,2323633,2226927
42300,2350802,2132482
42400,2289122,2179101
42500,2373812,2144349
42600,2341532,2194211
42700,2320616,2464958
42800,2344138,2406514
42900,2375320,2450344
43000,2486860,2312372
43100,2465091,2192241
43200,2357423,2154336
43300,2461032,2115301
43400,2519706,2286811
43500,2392596,2580194
43600,2418365,2320322
43700,2395008,2336804
43800,2413160,2248905
43900,2409116,2359433
44000,2404497,2351670
44100,2470308,2254136
44200,2462672,2447939
44300,2470453,2510095
44400,2440991,2603903
44500,2458298,2480668
44600,2506222,2638919
44700,2439842,2584093
44800,2507792,2561033
44900,2493318,2424088
45000,2540685,2508747
45100,2480849,2362552
45200,2481879,2444462
45300,2463511,2340740
45400,2577857,2438765
45500,2626446,2399775
45600,2575746,2470589
45700,2533734,2577588
45800,2567426,2448392
45900,2495119,2385904
46000,2509233,2385791
46100,2637415,2432661
46200,2573335,2465307
46300,2583668,2354808
46400,2525917,2355583
46500,2539538,2439202
46600,2600319,2423489
46700,2627622,2425281
46800,2584041,2375510
46900,2572413,2369642
47000,2988443,2356868
47100,2910601,2517719
47200,2817179,2651068
47300,2638322,2657389
47400,2626902,2679140
47500,2599488,2695146
47600,2664806,2716952
47700,2763620,2674097
47800,2712955,2763697
47900,2692625,2639577
48000,2691256,2559853
48100,2679602,2469738
48200,2675578,2626405
48300,2664125,2603226
48400,2682272,2506780
48500,2688949,2478582
48600,2705088,2609252
48700,2709335,2428805
48800,2717843,2476816
48900,2710775,2488225
49000,2684272,2504012
49100,2729522,2427126
49200,2768229,2439881
49300,2757315,2512238
49400,2709661,2499789
49500,2777064,2500087
49600,2724215,2728676
49700,2788011,2743431
49800,2778726,2804727
49900,2898593,2820417
50000,2806922,2859959
50100,2743549,2817574
50200,2748826,2833883
50300,2793443,2890717
50400,2814950,2858230
50500,2775273,2862631
50600,2835717,2764008
50700,2802916,2829738
50800,2840216,2722304
50900,2867171,2604905
51000,2846352,2583251
51100,2844559,2671238
51200,2860510,2649378
51300,2854637,2593620
51400,2879894,2602160
51500,2997435,2688128
51600,2866051,2870911
51700,2940797,2775212
51800,2887985,2586459
51900,2910142,2668839
52000,3031537,2709790
52100,3032634,2810571
52200,2889840,2658319
52300,2988381,2929080
52400,2955722,3053310
52500,2954605,2836222
52600,3095980,2814719
52700,2996064,2722898
52800,2948670,2736746
52900,2945413,2818673
53000,2999506,2819694
53100,2973246,2788242
53200,2954242,2715322
53300,2981758,2804387
53400,2952209,2718791
53500,2941098,2869722
53600,2992455,2737178
53700,3019769,2783742
53800,3043714,2737562
53900,2991632,2888157
54000,3207527,2812549
54100,3156876,2987525
54200,3004993,2916979
54300,3045088,2822240
54400,3008589,2992784
54500,3060574,2888861
54600,3062673,2793812
54700,3044937,3025256
54800,3049907,2790592
54900,3059304,2897009
55000,3096585,3021821
55100,3066450,2827525
55200,3049751,2819046
55300,3058356,2791340
55400,3091565,2840000
55500,3085817,3009153
55600,3173804,2972156
55700,3097252,2863770
55800,3102355,2882012
55900,3204509,2785981
56000,3197392,2880439
56100,3063938,3142335
56200,3151456,3161981
56300,3072578,3182017
56400,3145035,3164720
56500,3199106,3185116
56600,3157431,3248835
56700,3130332,3235132
56800,3141235,3249490
56900,3164178,3120016
57000,3187460,3063692
57100,3207167,3052606
57200,3210418,3016268
57300,3244237,2912605
57400,3165750,3019746
57500,3245623,3005046
57600,3201694,2905626
57700,3189869,2907707
57800,3357011,2989601
57900,3284604,2952321
58000,3195761,2968615
58100,3256778,2968181
58200,3230058,3027366
58300,3170668,2907027
58400,3300085,2932000
58500,3285426,2920997
58600,3226255,2901696
58700,3381771,3080583
58800,3334406,2985164
58900,3438367,2920881
59000,3309284,3090497
59100,3341917,3181536
59200,3285400,3324520
59300,3356685,3321485
59400,3287632,3268597
59500,3230949,3093129
59600,3495949,3051779
59700,3386231,3091733
59800,3304639,3051683
59900,3378763,2929344
60000,3321257,3061776
60100,3325078,2991417
60200,3375637,3075875
60300,3389653,3082402
60400,3383542,3167024
60500,3382213,3051229
60600,3379550,3346276
60700,3402775,3308395
60800,3363912,3345424
60900,3434634,3413709
61000,3434275,3390723
61100,3403764,3364719
61200,3423988,3456999
61300,3458653,3399775
61400,3544872,3442540
61500,3399148,3448614
61600,3480778,3420636
61700,3459711,3383513
61800,3431615,3453379
61900,3498599,3417537
62000,3478927,3193102
62100,3490245,3284027
62200,3509852,3330727
62300,3514625,3225963
62400,3459326,3129954
62500,3521270,3481578
62600,3497069,3522676
62700,3494918,3598737
62800,3522861,3506629
62900,3515403,3521983
63000,3555729,3577938
63100,3696637,3504143
63200,3558986,3508896
63300,3549954,3513697
63400,3527868,3449983
63500,3574545,3449811
63600,3613671,3308305
63700,3548711,3174333
63800,3563963,3337596
63900,3581544,3333169
64000,3622551,3305505
64100,3548242,3476186
64200,3585313,3579005
64300,3661179,3432017
64400,3559764,3472521
64500,3640957,3453872
64600,3634607,3514945
64700,3644250,3401561
64800,3803677,3500155
64900,3667290,3633080
65000,3696333,3502264
65100,3689525,3401711
65200,3611168,3377013
65300,3719611,3333819
65400,3671312,3350074
65500,3666057,3348382
65600,3632407,3336552
65700,3727761,3481223
65800,3727644,3454642
65900,3699112,3405677
66000,3693865,3480384
66100,3698580,3424167
66200,3738317,3431740
66300,3767146,3457543
66400,3865203,3483814
66500,3760396,3399882
66600,3795358,3345156
66700,3786017,3408416
66800,3763741,3431693
66900,3794847,3375199
67000,3854069,3486333
67100,3786710,3439479
67200,3842476,3520411
67300,3781207,3521556
67400,3789534,3514552
67500,3802056,3456985
67600,3812566,3482592
67700,3757858,3533778
67800,3841012,3422354
67900,3897808,3440374
68000,3927433,3464166
68100,3887330,3513676
68200,3976757,3464864
68300,3894125,3550569
68400,3800517,3531165
68500,3891606,3449553
68600,3844834,3709393
68700,3873156,3680221
68800,3863058,3553230
68900,3934646,3567205
69000,3872018,3594394
69100,3871333,3586171
69200,3956833,3637558
69300,3961011,3615067
69400,3934373,3539617
69500,4102889,3501103
69600,3854955,3489995
69700,3953924,3662750
69800,3893952,3781563
69900,3916884,3588098
70000,3898789,3557630
70100,3970691,3578890
70200,3994698,3608941
70300,3921768,3555532
70400,3883056,3604842
70500,4030309,3554679
70600,3972012,3734684
70700,4033393,3536217
70800,3970916,3525207
70900,3953393,3701335
71000,4152006,3584246
71100,3997333,3621971
71200,4070349,3588732
71300,4055668,3610325
71400,4002485,3746184
71500,4053964,3822805
71600,4015310,3836669
71700,4049057,3905285
71800,4112254,3919054
71900,4162720,3875253
72000,4079421,3960476
72100,3991439,3774243
72200,4066389,3897477
72300,4078691,3796248
72400,4197283,3858215
72500,4177032,3743737
72600,4084126,3839790
72700,4145633,3980643
72800,4110139,3988735
72900,4092692,3940615
73000,4111938,3672441
73100,4151303,3709533
73200,4154252,3638967
73300,4197847,3650042
73400,4138921,3684583
73500,4135506,3757031
73600,4129601,3901583
73700,4168911,3953394
73800,4177108,3863197
73900,4372439,3854358
74000,4221543,3773570
74100,4151945,3938241
74200,4284488,3849453
74300,4186301,3713086
74400,4226015,3930358
74500,4191483,3693297
74600,4223831,3718864
74700,4218651,3720835
74800,4219281,3750140
74900,4220350,3708171
75000,4265532,3719128
75100,4222035,3735124
75200,4293659,3951074
75300,4426848,3799296
75400,4240644,3741666
75500,4354198,3919824
75600,4389543,3828265
75700,4307568,3780762
75800,4339910,3942276
