Size,Pure,Introsort
500,10816,22486
600,12473,26979
700,15283,33638
800,16749,37899
900,18953,45931
1000,21297,53220
1100,23243,56752
1200,26286,65386
1300,28004,69241
1400,29811,78485
1500,32893,82968
1600,39915,87990
1700,37330,94554
1800,39382,100136
1900,41336,104579
2000,44387,121662
2100,46740,117561
2200,48303,122913
2300,50562,123515
2400,57185,144540
2500,54728,143759
2600,58329,167272
2700,62841,158926
2800,62353,161223
2900,64426,161676
3000,67262,167284
3100,66785,170754
3200,71095,181435
3300,74154,188750
3400,75903,198399
3500,85103,195465
3600,80399,199928
3700,83169,204966
3800,79438,208956
3900,81438,218618
4000,81173,218559
4100,85702,242924
4200,86338,262113
4300,97443,246965
4400,90669,261639
4500,102414,286724
4600,97015,273891
4700,102814,265720
4800,104536,269995
4900,100344,283147
5000,104160,287811
5100,104272,290952
5200,109120,306866
5300,140059,294881
5400,121491,312880
5500,125057,320438
5600,133456,318670
5700,130803,326310
5800,144183,333716
5900,135706,339230
6000,123019,354771
6100,141829,356382
6200,149310,352862
6300,168177,363664
6400,149809,361774
6500,156145,374578
6600,145131,377598
6700,156357,409919
6800,171709,425110
6900,157048,408115
7000,162002,412463
7100,177231,415579
7200,151283,441295
7300,151443,462548
7400,157335,436286
7500,178574,434957
7600,178451,440661
7700,174477,455635
7800,175325,452464
7900,188846,479524
8000,179294,482702
8100,170863,486499
8200,174760,478931
8300,209108,486241
8400,182833,489902
8500,198222,512353
8600,199711,507936
8700,221038,518143
8800,205422,545619
8900,209087,577880
9000,233567,551027
9100,217484,538196
9200,227623,557502
9300,241637,592820
9400,225150,584867
9500,223254,608730
9600,229903,620090
9700,230694,614935
9800,233471,617561
9900,248967,596995
10000,264238,599613
10100,250389,622368
10200,246934,633667
10300,252145,648770
10400,247922,679197
10500,258132,647797
10600,254633,713856
10700,291309,700144
10800,286130,693533
10900,278923,772626
11000,238300,722559
11100,260331,791254
11200,287849,777874
11300,290300,733035
11400,295257,791450
11500,287216,739785
11600,298466,1006338
11700,291139,882052
11800,312414,839544
11900,298012,811142
12000,309493,792436
12100,302345,795529
12200,292136,769808
12300,324769,772000
12400,295855,749524
12500,329108,829597
12600,302664,771680
12700,305347,779234
12800,339668,814566
12900,313768,868377
13000,323728,857524
13100,331724,846043
13200,320658,804521
13300,356534,819808
13400,332225,835647
13500,334514,876893
13600,340246,844923
13700,326896,854600
13800,494588,1063276
13900,441381,1038022
14000,331446,964025
14100,358808,929590
14200,356658,985829
14300,343876,955596
14400,356482,984496
14500,356930,982654
14600,366672,1003532
14700,361590,1071213
14800,371284,997887
14900,369920,1103511
15000,403620,1095569
15100,381666,999742
15200,371381,1075489
15300,378016,1055065
15400,376000,1091327
15500,398754,1108756
15600,386255,1110516
15700,395543,1130747
15800,384721,1123046
15900,416721,1125653
16000,402213,1132998
16100,407174,1140554
16200,398855,1160850
16300,421764,1149325
16400,429162,1177314
16500,588068,1501856
16600,513725,1564062
16700,541890,1630139
16800,491513,1637926
16900,618569,1618373
17000,457154,1610238
17100,509312,1655165
17200,421791,1673783
17300,438475,1721898
17400,438163,1744286
17500,459531,1703500
17600,426359,1593177
17700,443362,1593923
17800,439314,1301133
17900,474957,1473507
18000,427199,1894309
18100,448318,1385744
18200,447846,1436593
18300,420085,1368395
18400,492201,1266180
18500,424285,1363310
18600,458827,1311812
18700,456890,1166620
18800,501505,1194173
18900,465618,1254408
19000,459487,1346615
19100,509593,1307404
19200,489369,1196548
19300,479838,1263305
19400,491691,1355016
19500,495617,1320645
19600,497377,1333251
19700,489480,1347788
19800,501227,1389598
19900,489071,1358341
20000,502348,1367868
20100,503295,1431798
20200,495164,1468032
20300,499263,1415791
20400,543149,1444258
20500,519456,1441308
20600,512388,1490716
20700,508159,1512759
20800,501342,1464723
20900,515535,1433324
21000,521327,1555165
21100,570497,1490164
21200,496190,1448644
21300,510912,1550543
21400,548944,1545871
21500,520388,1556852
21600,531564,1529895
21700,558380,1512248
21800,529347,1518686
21900,564173,1515709
22000,579704,1628610
22100,503160,1534853
22200,566142,1527346
22300,552454,1582017
22400,549653,1631748
22500,561805,1582571
22600,561693,1652151
22700,535185,1529559
22800,557732,1557532
22900,595025,1541708
23000,583812,1524001
23100,573759,1513820
23200,565761,1452780
23300,599388,1623663
23400,588532,1512373
23500,627630,1607398
23600,588514,1533111
23700,590861,1539920
23800,554293,1724100
23900,536080,1565808
24000,558445,1485722
24100,582470,1713989
24200,574382,1842635
24300,582401,2420997
24400,605611,2176391
24500,665402,1841995
24600,670713,2074480
24700,636306,2127756
24800,699817,2516143
24900,817704,2560816
25000,862823,2525065
25100,864797,2567011
25200,857681,2578351
25300,670032,2410018
25400,654806,2146808
25500,658951,2450816
25600,643392,2067744
25700,643766,1696217
25800,605025,1626748
25900,662787,1913769
26000,612074,1636873
26100,652537,1633692
26200,649422,1717166
26300,653295,1699642
26400,655861,1686793
26500,664916,1753932
26600,675844,1733841
26700,681998,1718938
26800,688026,1911422
26900,685364,1871222
27000,681153,1978589
27100,683250,1960250
27200,679292,1879667
27300,712437,1940789
27400,699707,1926224
27500,671176,1869330
27600,651357,1859329
27700,660053,1955652
27800,677198,1983281
27900,715211,2063389
28000,699541,2030837
28100,681548,1968676
28200,650983,1993297
28300,668058,1905508
28400,642127,2093922
28500,655966,1949815
28600,666713,1881083
28700,739733,1864907
28800,698891,1878914
28900,667712,1842506
29000,727439,1865566
29100,907632,1889173
29200,980624,1897718
29300,993655,1991773
29400,1002760,1997016
29500,1006546,2011273
29600,782113,2748315
29700,777432,2505027
29800,915813,2173326
29900,862459,2295175
30000,884419,3081518
30100,832207,3097260
30200,829661,2984489
30300,843583,3243030
30400,772769,3022994
30500,800396,2815429
30600,759859,2563720
30700,836770,2815197
30800,802999,2094017
30900,797790,2116476
31000,791222,2076948
31100,806040,2106818
31200,758874,2359916
31300,806884,2337207
31400,832617,2265753
31500,763926,2124721
31600,788051,2350982
